Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
0,0,0.0000,-0.7418,1.0698,0.0000,0.0000,0.0000
0,1,0.0168,-0.7492,1.0548,0.0000,0.0000,0.0000
0,2,0.0309,-0.7792,1.0473,-1.0626,-0.2657,1.0953
0,3,0.0478,-0.8540,1.0024,-2.1797,-1.0599,2.4237
0,4,0.0651,-1.0037,0.9126,-5.0740,-2.7965,5.7936
0,5,0.0816,-1.2058,0.7854,-9.1579,-5.3678,10.6151
0,6,0.0975,-1.4603,0.6431,-13.7905,-8.1754,16.0317
0,7,0.1138,-1.6325,0.5009,-15.8315,-10.1940,18.8296
0,8,0.1304,-1.7972,0.3737,-16.2379,-11.0080,19.6175
0,9,0.1477,-1.9394,0.2165,-14.8960,-11.4673,18.7987
0,10,0.1640,-2.0666,0.0219,-12.1657,-12.4755,17.4253
0,11,0.1807,-2.1490,-0.1802,-10.2927,-13.5978,17.0540
0,12,0.1968,-2.1789,-0.3599,-7.6122,-14.7679,16.6144
0,13,0.2140,-2.1639,-0.4572,-4.5792,-13.6286,14.3774
0,14,0.2300,-2.0966,-0.5320,-0.5666,-11.1934,11.2077
0,15,0.2474,-2.0591,-0.5470,1.7881,-7.4558,7.6672
0,16,0.2632,-2.0217,-0.5694,3.1993,-4.2098,5.2875
0,17,0.2803,-1.9618,-0.5694,4.0713,-2.3184,4.6851
0,18,0.2973,-1.8196,-0.5769,5.4628,-0.9078,5.5378
0,19,0.3131,-1.6250,-0.5769,8.8453,-0.6217,8.8671
0,20,0.3325,-1.3256,-0.5769,13.1974,-0.1470,13.1982
0,21,0.3465,-0.9214,-0.5320,21.6884,0.9256,21.7081
0,22,0.3633,-0.5097,-0.4647,27.0501,2.4071,27.1570
0,23,0.3798,-0.1729,-0.3973,29.7873,3.7741,30.0255
0,24,0.3961,0.1565,-0.3000,31.3808,5.7645,31.9058
0,25,0.4126,0.4334,-0.1877,27.2917,6.9479,28.1622
0,26,0.4298,0.7403,-0.0455,25.1111,8.3821,26.4731
0,27,0.4466,1.1969,0.1491,27.3376,10.8774,29.4221
0,28,0.4629,1.5337,0.2614,27.4801,11.1801,29.6674
0,29,0.4792,1.8256,0.3812,27.8716,11.3677,30.1007
0,30,0.4967,2.0951,0.4560,27.0261,10.0237,28.8250
0,31,0.5123,2.3047,0.5084,22.4576,7.2847,23.6096
0,32,0.5298,2.4918,0.5608,19.1346,5.9873,20.0495
0,33,0.5458,2.7164,0.5833,17.8769,4.0136,18.3219
0,34,0.5627,2.9185,0.6132,16.7203,3.1774,17.0195
0,35,0.5788,3.0981,0.6282,15.9396,2.3635,16.1139
0,36,0.5958,3.2703,0.6357,15.7739,1.5151,15.8465
0,37,0.6127,3.4275,0.6357,14.1733,1.0453,14.2118
0,38,0.6286,3.5996,0.6357,13.7992,0.4568,13.8068
0,39,0.6452,3.7044,0.6207,12.1886,-0.1528,12.1896
0,40,0.6618,3.7793,0.5908,10.3048,-0.9029,10.3443
0,41,0.6788,3.8990,0.5458,9.5505,-1.7818,9.7153
0,42,0.6952,4.0637,0.4710,9.3108,-3.3085,9.8811
0,43,0.7117,4.3032,0.3662,12.0315,-5.1180,13.0748
0,44,0.7293,4.5053,0.2764,14.3634,-6.2214,15.6529
0,45,0.7452,4.6775,0.1866,15.6324,-7.2274,17.2223
0,46,0.7625,4.8422,0.0818,15.4410,-7.7163,17.2617
0,47,0.7784,4.9170,0.0443,12.1869,-6.3906,13.7608
0,48,0.7952,4.9320,0.0144,8.6449,-5.2779,10.1287
0,49,0.8121,4.9320,-0.0230,5.0322,-4.1339,6.5125
0,50,0.8286,4.9095,-0.0679,1.4113,-3.0257,3.3387
0,51,0.8446,4.7972,-0.1652,-2.4942,-4.2671,4.9426
0,52,0.8613,4.6401,-0.2850,-5.9177,-6.0561,8.4673
0,53,0.8778,4.4155,-0.4497,-10.4527,-8.6409,13.5619
0,54,0.8946,4.1086,-0.6518,-16.1031,-11.7533,19.9361
0,55,0.9117,3.9140,-0.7566,-17.5522,-11.7665,21.1312
0,56,0.9277,3.8092,-0.8090,-16.6096,-10.4763,19.6375
0,57,0.9446,3.7718,-0.8165,-12.8160,-7.2989,14.7487
0,58,0.9610,3.6969,-0.8239,-8.2291,-3.4309,8.9157
0,59,0.9778,3.5697,-0.8239,-6.9706,-1.3921,7.1083
0,60,0.9948,3.3751,-0.8090,-8.6027,-0.0064,8.6027
0,61,1.0109,3.0831,-0.7641,-13.8856,1.0687,13.9267
0,62,1.0274,2.5068,-0.6368,-24.0012,3.7887,24.2984
0,63,1.0443,2.1176,-0.5170,-29.1575,6.1530,29.7996
0,64,1.0608,1.7358,-0.4272,-33.0698,7.6779,33.9494
0,65,1.0772,1.3316,-0.3449,-35.2384,8.4200,36.2304
0,66,1.0940,0.9723,-0.3000,-30.7475,6.7445,31.4785
0,67,1.1107,0.6056,-0.2700,-30.3991,4.9790,30.8041
0,68,1.1271,0.2238,-0.2700,-30.4033,3.1605,30.5671
0,69,1.1448,-0.0456,-0.2700,-27.2947,1.4916,27.3354
0,70,1.1603,-0.2852,-0.2700,-25.3127,0.5988,25.3198
0,71,1.1768,-0.5097,-0.2925,-22.5099,-0.4533,22.5145
0,72,1.1932,-0.6894,-0.3299,-18.4319,-1.2147,18.4719
0,73,1.2104,-0.8615,-0.3524,-16.6748,-1.6487,16.7562
0,74,1.2269,-1.0412,-0.3973,-15.1548,-2.5587,15.3693
0,75,1.2435,-1.2732,-0.5021,-15.2694,-4.2042,15.8376
0,76,1.2606,-1.3780,-0.5620,-13.6541,-4.6083,14.4108
0,77,1.2767,-1.4304,-0.6218,-11.4116,-5.4140,12.6308
0,78,1.2931,-1.4454,-0.6518,-8.0777,-5.1159,9.5614
0,79,1.3099,-1.4454,-0.6742,-3.4303,-3.4619,4.8736
0,80,1.3268,-1.4454,-0.6817,-1.3907,-2.4438,2.8118
0,81,1.3437,-1.4304,-0.7191,-0.0107,-1.9422,1.9422
0,82,1.3673,-1.3855,-0.7865,0.9288,-2.2807,2.4626
0,83,1.3842,-1.2882,-0.8614,2.8554,-3.3178,4.3774
0,84,1.4010,-1.1085,-0.9362,6.4132,-4.6528,7.9233
0,85,1.4171,-0.8765,-1.0260,10.9290,-5.7771,12.3619
0,86,1.4341,-0.6145,-1.0934,15.4140,-6.1429,16.5930
0,87,1.4513,-0.3900,-1.1383,17.8460,-5.5327,18.6839
