Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
1,0,2.0141,-1.7972,-1.6623,0.0000,0.0000,0.0000
1,1,2.0334,-1.7448,-1.6623,0.0000,0.0000,0.0000
1,2,2.0508,-1.7298,-1.6623,0.4300,0.0000,0.4300
1,3,2.0672,-1.6400,-1.6249,2.1042,0.7573,2.2364
1,4,2.0835,-1.5277,-1.5725,4.4075,1.8322,4.7731
1,5,2.1006,-1.3481,-1.4677,7.9067,3.8734,8.8045
1,6,2.1183,-1.1160,-1.2805,11.9806,7.3899,14.0764
1,7,2.1353,-0.8840,-1.1084,14.7372,10.0264,17.8246
1,8,2.1541,-0.7193,-0.9662,15.3524,11.4720,19.1652
1,9,2.1717,-0.4948,-0.7416,16.0884,13.6660,21.1091
1,10,2.1885,-0.3825,-0.5994,13.9664,12.9850,19.0701
1,11,2.2052,-0.2627,-0.4422,11.7738,12.7170,17.3304
1,12,2.2221,-0.1055,-0.2850,11.9534,13.2946,17.8782
1,13,2.2391,0.0666,-0.1278,11.1065,12.1531,16.4637
1,14,2.2559,0.2987,0.0443,13.4621,12.7261,18.5252
1,15,2.2730,0.4858,0.1716,14.7333,12.0842,19.0551
1,16,2.2902,0.7403,0.3363,16.5654,12.1762,20.5590
1,17,2.3076,0.8825,0.4261,15.9075,10.8071,19.2313
1,18,2.3249,1.0547,0.5159,14.6271,9.1274,17.2412
1,19,2.3424,1.2867,0.6207,15.3894,8.6374,17.6476
1,20,2.3605,1.5637,0.6806,15.5621,6.5506,16.8846
1,21,2.3784,1.9753,0.7180,20.4944,5.5228,21.2255
1,22,2.3962,2.1625,0.7180,20.6871,3.7939,21.0322
1,23,2.4148,2.3795,0.7180,20.1523,1.7999,20.2325
1,24,2.4333,2.6041,0.7180,19.1027,0.6966,19.1154
1,25,2.4519,3.0532,0.6731,19.4818,-0.8042,19.4984
1,26,2.4708,3.1954,0.6656,18.4884,-0.9364,18.5121
1,27,2.4902,3.2553,0.6506,15.6337,-1.1928,15.6791
1,28,2.5087,3.2852,0.6207,12.1209,-1.7333,12.2442
1,29,2.5278,3.3152,0.5833,4.6025,-1.5833,4.8673
1,30,2.5470,3.3451,0.4860,2.6083,-3.1373,4.0799
1,31,2.5663,3.3526,0.4111,1.7121,-4.1757,4.5130
1,32,2.5855,3.3451,0.3138,1.0416,-5.3264,5.4273
1,33,2.6045,3.2254,0.0219,-1.5744,-9.7730,9.8990
1,34,2.6234,3.1131,-0.1278,-4.0722,-10.7254,11.4724
1,35,2.6427,2.9933,-0.2251,-6.2722,-11.1129,12.7608
1,36,2.6621,2.7463,-0.3449,-10.3888,-11.4807,15.4833
1,37,2.6820,2.5442,-0.3973,-11.6898,-7.2597,13.7606
1,38,2.7019,2.2523,-0.4422,-14.5995,-5.3732,15.5569
1,39,2.7225,2.0427,-0.4497,-15.9215,-3.8121,16.3715
1,40,2.7427,1.5861,-0.4123,-19.1962,-1.1366,19.2298
1,41,2.7630,1.1445,-0.3150,-23.0561,1.3415,23.0950
1,42,2.7834,0.3660,-0.1353,-30.8759,5.0263,31.2824
