Touch,PointInTouch,Time,X,Y,Velocity(x),Velocity(y),Speed
1,43,2.8040,-0.2702,-0.0605,-37.7629,6.3568,38.2942
1,44,2.8248,-0.5471,-0.0530,-34.6777,5.8602,35.1694
1,45,2.8458,-0.9214,-0.0829,-33.3802,3.7855,33.5942
1,46,2.8672,-1.1011,-0.1278,-23.4699,0.1532,23.4704
1,47,2.8889,-1.3331,-0.2476,-16.7575,-2.8972,17.0061
1,48,2.9101,-1.4154,-0.3150,-13.6163,-4.0766,14.2135
1,49,2.9317,-1.4154,-0.3299,-7.6603,-3.8308,8.5648
1,50,2.9534,-1.4079,-0.3673,-4.7471,-3.7061,6.0225
1,51,2.9753,-1.3181,-0.4272,0.1893,-2.7779,2.7843
1,52,3.0013,-1.1385,-0.5096,3.7878,-2.7742,4.6950
1,53,3.0234,-0.8990,-0.5545,7.3986,-3.2205,8.0691
1,54,3.0455,-0.6370,-0.5545,11.2317,-2.6457,11.5390
1,55,3.0678,-0.4723,-0.5620,12.3204,-1.8445,12.4577
1,56,3.0907,-0.2178,-0.5694,13.7294,-0.8979,13.7587
1,57,3.1160,0.0591,-0.5694,13.7610,-0.2209,13.7628
1,58,3.1463,0.6804,-0.5694,16.6497,-0.2209,16.6512
1,59,3.1722,1.0547,-0.5545,19.0074,0.0834,19.0076
1,60,3.1982,1.5711,-0.5545,21.9091,0.1926,21.9100
1,61,3.2245,2.1550,-0.6218,25.6935,-0.6643,25.7021
1,62,3.2506,2.8062,-0.7416,27.1623,-2.1918,27.2506
1,63,3.2754,3.2329,-0.8239,28.0854,-3.4919,28.3017
1,64,3.2991,3.4275,-0.9138,24.2061,-4.7542,24.6686
1,65,3.3228,3.5098,-0.9662,17.9372,-4.6341,18.5261
1,66,3.3464,3.5772,-1.0186,10.5824,-3.8461,11.2596
1,67,3.3703,3.6221,-1.0784,5.4702,-3.5741,6.5342
1,68,3.4033,3.6071,-1.1308,2.5842,-2.8405,3.8401
1,69,3.4284,3.3376,-1.2880,-2.1613,-4.1964,4.7203
1,70,3.4529,2.9334,-1.4677,-8.5996,-5.8959,10.4266
1,71,3.4773,2.4918,-1.6847,-15.2761,-8.0341,17.2599
1,72,3.5024,2.0502,-1.7895,-20.9751,-8.8935,22.7827
1,73,3.5269,1.5936,-1.7970,-23.6046,-6.9027,24.5932
1,74,3.5527,0.8002,-1.6323,-28.3505,-2.3398,28.4469
1,75,3.5775,0.0517,-1.3404,-32.3853,4.5668,32.7057
1,76,3.6028,-0.6220,-1.0784,-35.4096,9.4062,36.6377
1,77,3.6278,-1.2807,-0.8389,-37.9674,12.6990,40.0349
1,78,3.6536,-1.9918,-0.7266,-36.9342,12.0277,38.8432
1,79,3.6802,-2.7478,-0.7191,-36.3026,8.1883,37.2146
1,80,3.7067,-3.0846,-0.7715,-31.6710,4.0771,31.9323
1,81,3.7325,-3.3316,-0.8913,-26.0841,-0.6594,26.0924
1,82,3.7591,-3.5188,-1.0260,-19.2306,-3.8017,19.6027
1,83,3.7880,-3.5337,-1.1233,-9.9505,-5.0196,11.1449
1,84,3.8162,-3.4664,-1.2281,-4.9130,-5.5957,7.4464
1,85,3.8444,-3.2942,-1.2880,0.3104,-4.7580,4.7681
1,86,3.8736,-3.0023,-1.3853,5.9924,-4.1802,7.3063
1,87,3.9054,-2.5607,-1.5650,10.7910,-4.9374,11.8669
1,88,3.9363,-1.7373,-1.7820,18.8815,-6.0438,19.8252
1,89,3.9658,-1.4828,-1.7895,19.7172,-5.4202,20.4487
1,90,3.9964,-1.1310,-1.7296,20.2210,-3.6550,20.5487
1,91,4.0267,-0.4049,-1.4751,23.5902,1.0289,23.6126
1,92,4.0555,-0.0082,-1.3554,19.2864,4.7543,19.8637
1,93,4.0842,0.0591,-1.3329,17.1971,5.0994,17.9372
1,94,4.1221,0.0591,-1.3329,13.3580,4.4460,14.0785
